job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,y,date,id_,age_iterative,euribor3m_iterative,income,kidhome,teenhome,dt_customer,num_web_visits_month,i_d
housemaid,married,basic,no,no,no,telephone,261,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-08-02,089b39d8-e4d0-461b-87d4-814d71e0e079,40.28549566237085,4.857,161770,1,0,2012-04-04,29,089b39d8-e4d0-461b-87d4-814d71e0e079
services,married,high.school,no,no,no,telephone,149,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-09-14,e9d37224-cb6f-4942-98d7-46672963d097,57.0,3.9282815929708,85477,1,1,2012-12-30,7,e9d37224-cb6f-4942-98d7-46672963d097
services,married,high.school,no,yes,no,telephone,226,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-02-15,3f9f49b5-e410-4948-bf6e-f9244f04918b,37.0,4.857,147233,1,1,2012-02-02,5,3f9f49b5-e410-4948-bf6e-f9244f04918b
admin,married,basic,no,no,no,telephone,151,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-11-29,9991fafb-4447-451a-8be2-b0df6098d13e,40.0,3.624639557495081,121393,1,2,2012-12-21,29,9991fafb-4447-451a-8be2-b0df6098d13e
services,married,high.school,no,no,yes,telephone,307,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-01-29,eca60b76-70b6-4077-80ba-bc52e8ebb0eb,56.0,3.9104202967663455,63164,1,2,2012-06-20,20,eca60b76-70b6-4077-80ba-bc52e8ebb0eb
services,married,basic,no,no,no,telephone,198,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-09-26,d63ede72-0b6d-45b1-8872-385ac6897f65,45.0,4.857,143854,0,1,2012-01-24,26,d63ede72-0b6d-45b1-8872-385ac6897f65
admin,married,professional.course,no,no,no,telephone,139,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-01-25,5e3483e5-236d-437d-8351-541f9d09b9dd,59.0,4.857,76439,1,0,2012-08-15,3,5e3483e5-236d-437d-8351-541f9d09b9dd
blue-collar,married,unknown,no,no,no,telephone,217,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-09-25,87fdc08b-30ae-4dab-803f-561ecdf27ff0,40.28549566237085,4.857,159686,1,1,2012-12-10,21,87fdc08b-30ae-4dab-803f-561ecdf27ff0
technician,single,professional.course,no,yes,no,telephone,380,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-01-18,87b79988-2be5-419d-88f4-56655852c565,24.0,4.857,179933,0,0,2012-08-22,18,87b79988-2be5-419d-88f4-56655852c565
services,single,high.school,no,yes,no,telephone,50,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-11-02,ea6b7d04-9271-4c0a-a01f-07795d164aba,25.0,3.356720114428269,77504,1,0,2012-02-09,18,ea6b7d04-9271-4c0a-a01f-07795d164aba
blue-collar,married,unknown,no,no,no,telephone,55,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-11-30,8d700df5-0c33-4517-8cf8-92e1c92c9c12,41.0,4.857,92882,1,1,2012-01-05,9,8d700df5-0c33-4517-8cf8-92e1c92c9c12
services,single,high.school,no,yes,no,telephone,222,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-04-17,ca5c0d7a-8bbd-42b3-8351-1074c5be011a,25.0,3.356720114428269,84813,0,1,2012-06-06,30,ca5c0d7a-8bbd-42b3-8351-1074c5be011a
blue-collar,single,high.school,no,no,yes,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-06-14,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0,29.0,4.857,102006,0,1,2012-03-24,18,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0
housemaid,divorced,basic,no,yes,no,telephone,293,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-08-25,54b1ea8a-a909-45d9-9562-775b64ac9c29,57.0,4.857,140801,2,1,2012-02-11,32,54b1ea8a-a909-45d9-9562-775b64ac9c29
